"","year","fips","noncit_pop","moe"
"1",2009,"45001",248,172
"2",2010,"45001",357,196
"3",2011,"45001",334,187
"4",2012,"45001",246,139
"5",2013,"45001",217,161
"6",2014,"45001",227,181
"7",2015,"45001",209,142
"8",2016,"45001",171,166
"9",2017,"45001",154,150
"10",2018,"45001",175,139
"11",2009,"22001",209,98
"12",2010,"22001",283,105
"13",2011,"22001",403,176
"14",2012,"22001",442,158
"15",2013,"22001",501,164
"16",2014,"22001",580,156
"17",2015,"22001",616,190
"18",2016,"22001",629,166
"19",2017,"22001",688,196
"20",2018,"22001",697,274
"21",2009,"51001",1938,339
"22",2010,"51001",1475,280
"23",2011,"51001",1759,365
"24",2012,"51001",1756,381
"25",2013,"51001",1806,327
"26",2014,"51001",1803,287
"27",2015,"51001",1790,409
"28",2016,"51001",1774,384
"29",2017,"51001",1703,389
"30",2018,"51001",1656,402
"31",2009,"16001",14133,1494
"32",2010,"16001",12934,1127
"33",2011,"16001",13846,1469
"34",2012,"16001",14294,1278
"35",2013,"16001",13254,1178
"36",2014,"16001",13293,1209
"37",2015,"16001",15081,1505
"38",2016,"16001",14084,1351
"39",2017,"16001",13235,1264
"40",2018,"16001",12897,1278
"41",2009,"19001",10,14
"42",2010,"19001",19,21
"43",2011,"19001",17,15
"44",2012,"19001",35,26
"45",2013,"19001",43,27
"46",2014,"19001",49,27
"47",2015,"19001",46,23
"48",2016,"19001",69,35
"49",2017,"19001",71,31
"50",2018,"19001",81,34
"51",2009,"21001",65,43
"52",2010,"21001",54,46
"53",2011,"21001",80,83
"54",2012,"21001",136,105
"55",2013,"21001",122,78
"56",2014,"21001",137,85
"57",2015,"21001",179,74
"58",2016,"21001",151,59
"59",2017,"21001",135,68
"60",2018,"21001",209,94
"61",2009,"29001",330,159
"62",2010,"29001",471,175
"63",2011,"29001",505,186
"64",2012,"29001",530,147
"65",2013,"29001",416,153
"66",2014,"29001",482,171
"67",2015,"29001",445,177
"68",2016,"29001",384,143
"69",2017,"29001",702,276
"70",2018,"29001",845,269
"71",2009,"40001",204,77
"72",2010,"40001",344,121
"73",2011,"40001",355,113
"74",2012,"40001",396,96
"75",2013,"40001",420,105
"76",2014,"40001",439,94
"77",2015,"40001",352,90
"78",2016,"40001",332,89
"79",2017,"40001",248,64
"80",2018,"40001",224,60
"81",2009,"08001",48264,2132
"82",2010,"08001",46948,2067
"83",2011,"08001",46983,2086
"84",2012,"08001",46824,2225
"85",2013,"08001",47222,2024
"86",2014,"08001",48809,1833
"87",2015,"08001",49304,1940
"88",2016,"08001",50941,2161
"89",2017,"08001",51352,2435
"90",2018,"08001",50919,2114
"91",2009,"16003",15,14
"92",2010,"16003",27,32
"93",2011,"16003",7,9
"94",2012,"16003",5,6
"95",2013,"16003",5,6
"96",2014,"16003",8,9
"97",2015,"16003",4,5
"98",2016,"16003",19,21
"99",2017,"16003",24,23
"100",2018,"16003",21,21
"101",2009,"17001",317,125
"102",2010,"17001",323,105
"103",2011,"17001",379,138
"104",2012,"17001",413,147
"105",2013,"17001",539,195
"106",2014,"17001",525,138
"107",2015,"17001",501,134
"108",2016,"17001",424,137
"109",2017,"17001",426,134
"110",2018,"17001",316,116
"111",2009,"18001",78,57
"112",2010,"18001",65,42
"113",2011,"18001",78,57
"114",2012,"18001",92,68
"115",2013,"18001",85,64
"116",2014,"18001",92,76
"117",2015,"18001",108,70
"118",2016,"18001",110,64
"119",2017,"18001",154,91
"120",2018,"18001",152,76
"121",2009,"19003",0,99
"122",2010,"19003",0,99
"123",2011,"19003",4,7
"124",2012,"19003",4,6
"125",2013,"19003",3,6
"126",2014,"19003",4,7
"127",2015,"19003",13,14
"128",2016,"19003",11,14
"129",2017,"19003",6,9
"130",2018,"19003",14,12
"131",2009,"28001",158,138
"132",2010,"28001",125,99
"133",2011,"28001",472,173
